row,kind,experiment,checkpoint,sample_index,sample_name,abs_rel,rmse,silog,d1,d2,d3,align_scale,align_shift,valid_pixels,d1_pass_pixels,x3_min,x3_p01,x3_mean,x3_p50,x3_p99,x3_max
1,student_rgb_dav2s_init,DAv2-S student RGB init,/home/caq/333_cvpr/da_ours/checkpoints/depth_anything_v2_vits.pth,402,night-06412,19.77914160002304,27.656944180692133,0.7149090324179111,0.7721476309899554,0.8202877201536375,0.8610908675953037,48.600146478731325,10.291836172243748,385583,297727,-2.1179039478302,-2.1179039478302,-1.9551154375076294,-2.0357143878936768,-1.6998692750930786,2.640000104904175
2,raw_ram_final,0605_1332_rod_night_rawram3_identity_dav2s_ram_decoder_e5,/mnt/drive/3333_raw/0000_exp_ckpt/0605_1332_rod_night_rawram3_identity_dav2s_ram_decoder_e5/last_epoch_model.pth,402,night-06412,11.97032268678601,15.041314572966654,0.5425710052532193,0.806474870520744,0.8916394135633573,0.9362108806664194,55.52675532478926,6.107242331699449,385583,310963,-22.125,-1.25,0.6048821210861206,0.7890625,3.578125,27.25
3,raw_ram_final,0605_1844_rod_night_rawram3_identity_dav2s_ram_lora_tap_r8a16_decoder_e5,/mnt/drive/3333_raw/0000_exp_ckpt/0605_1844_rod_night_rawram3_identity_dav2s_ram_lora_tap_r8a16_decoder_e5/last_epoch_model.pth,402,night-06412,26.553558554092948,32.65445060582043,0.7403103002755101,0.7219405419844754,0.7856466701073439,0.8386573059496918,42.25623528760487,26.984594613981987,385583,278368,-14.375,-0.51953125,0.870431661605835,0.6796875,3.453125,80.0
4,raw_ram_final,0606_0330_rod_night_rawram3_identity_dav2s_ram_backbone_ld09_decoder_e10,/mnt/drive/3333_raw/0000_exp_ckpt/0606_0330_rod_night_rawram3_identity_dav2s_ram_backbone_ld09_decoder_e10/last_epoch_model.pth,402,night-06412,10.94331276251956,19.17061810415938,0.5305417650613886,0.7889274164058063,0.8405401690427223,0.9307516150867647,37.05452434583716,11.0444985345138,385583,304197,-4.40625,-0.5703125,0.5702826380729675,0.3125,2.953125,77.5
5,raw_ram_final,0606_1431_rod_night_rawram3_identity_dav2s_ram_backbone_lowlr_ld09_e10,/mnt/drive/3333_raw/0000_exp_ckpt/0606_1431_rod_night_rawram3_identity_dav2s_ram_backbone_lowlr_ld09_e10/last_epoch_model.pth,402,night-06412,13.665973937843848,20.295927259007506,0.5765269846141193,0.7788699190576348,0.82881247357897,0.9135776214200315,42.669562284047934,12.134950580222931,385583,300319,-5.28125,-1.2578125,0.16842228174209595,-0.15625,3.640625,36.5
