split,checkpoint_label,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3
lod_train_proxy,best,0,lod-0031-0032,31,32,491473,72.22729076024025,-15.749858244298055,0.19304537361686566,3.9745470292476224,13.304112476239572,1.0547169616305667,0.06895519843056595,1.053505914227216,105.3505914227216,0.9086623273302907,0.9637619970985182,0.9768329084201981
lod_train_proxy,best,1,lod-0185-0186,185,186,491520,69.60620667570261,-22.899274320084547,0.10725813660889652,2.4784463952290214,16.51128110202389,0.16706151095081515,0.04343271393489915,0.16655151113106087,16.655151113106086,0.85264892578125,0.9615824381510417,0.9957784016927084
lod_train_proxy,best,2,lod-0275-0276,275,276,491520,60.04320689111523,75.31370776986536,0.23026096282603487,18.32003670398293,86.89163092572002,0.27841918305201846,0.09980089099980798,0.27786029724305195,27.786029724305195,0.534375,0.9388020833333334,0.984271240234375
lod_train_proxy,best,3,lod-0293-0294,293,294,491520,67.79008953665483,23.205152021628432,0.4360853700053244,30.805039473154405,74.5774961183977,0.481666980750017,0.16301138571381948,0.4732713098995108,47.32713098995108,0.384027099609375,0.7057210286458333,0.8452046712239584
lod_train_proxy,best,4,lod-0331-0332,331,332,491520,67.32371417811689,27.73618785173989,0.31358312097462265,17.843359132741913,42.73756192542878,0.3622872768491521,0.10980744033731475,0.35868757290110265,35.86875729011027,0.601873779296875,0.8486612955729167,0.9315205891927083
lod_train_proxy,best,5,lod-0363-0364,363,364,490982,61.18521079625728,-6.637969583445548,0.11154587381999317,3.8664496491829703,24.727347643395053,0.7730201488080525,0.05569729878868868,0.7722753153291579,77.22753153291579,0.9205469854292011,0.9674733493284886,0.9846328378637099
lod_train_proxy,best,6,lod-0377-0378,377,378,491520,79.08622400740462,-42.332512080674725,0.18754041167604804,8.101031271033328,34.22769564737623,2.3884048937450673,0.21797317278941222,2.376045792256649,237.6045792256649,0.7544962565104166,0.8901570638020834,0.927081298828125
lod_train_proxy,best,7,lod-0395-0396,395,396,491520,51.32160264617223,57.90071079381589,0.09988763887153133,4.603291608899225,29.433186521716618,0.1539875744942614,0.04180673238670177,0.15378860394659297,15.378860394659297,0.8373942057291667,0.9828470865885417,0.9984883626302083
lod_train_proxy,best,8,lod-0399-0400,399,400,491520,73.12436330982413,-20.177846070151382,0.31413022559150755,17.758902387556343,26.767886728132172,3.5843707538736362,0.40831458475443294,3.548839661354973,354.8839661354973,0.765631103515625,0.7998514811197917,0.8350240071614583
lod_train_proxy,best,9,lod-0427-0428,427,428,491520,154.14808467182576,-285.3986835164535,0.630932139638383,43.995006444216195,56.022762482409206,2.6740691223964674,0.36576660626203944,2.667105377073296,266.7105377073296,0.424383544921875,0.6133504231770833,0.71051025390625
lod_train_proxy,best,10,lod-0545-0546,545,546,491520,47.34406213034912,107.14152481108913,0.3144649052385108,33.08045430339048,67.82778533812929,0.3923599933379348,0.1084470969953406,0.3896048790477971,38.96048790477971,0.6558308919270833,0.8188191731770833,0.89725341796875
lod_train_proxy,best,11,lod-0567-0568,567,568,491520,74.88813050736492,-11.863149019904247,0.07807423104397028,1.9639831391148284,17.907151323631425,0.1313126041146884,0.03379655277245713,0.13119360088379567,13.119360088379567,0.9649739583333333,0.9910420735677083,0.9946451822916667
lod_train_proxy,best,12,lod-0619-0620,619,620,491520,64.16625941134723,18.452854658679115,0.07912720237844027,2.4437247687026873,19.873070682069937,0.1756157817026569,0.036501275571648624,0.17556453540243555,17.556453540243556,0.9009867350260417,0.9635538736979167,0.9845377604166666
lod_train_proxy,best,13,lod-0671-0672,671,672,491520,29.69678661929292,298.60604027053205,0.054023006975266595,4.32200393702905,33.9985760606873,0.1140588841780694,0.021958511618364054,0.11398209963113118,11.398209963113118,0.9147705078125,0.989697265625,0.9954752604166667
lod_train_proxy,best,14,lod-0705-0706,705,706,491520,62.01780139984463,83.88539393716589,0.13313227758988927,8.61359671004301,45.27479244018679,0.19418512469865906,0.055797734865868365,0.1938494118231898,19.38494118231898,0.84306640625,0.9468282063802084,0.9894694010416667
lod_train_proxy,best,15,lod-0711-0712,711,712,491513,66.0860513287278,28.522432787450228,0.2556435151071028,29.51640353751752,52.33689590311871,0.3299118707097397,0.06587763592186714,0.3289585362505465,32.89585362505465,0.8214370728749799,0.9232838195530942,0.9553663890883862
lod_train_proxy,best,16,lod-0783-0784,783,784,480195,81.76656735806733,-75.4717048901612,25.953208280064633,596.4918024766007,69.73173142665523,2.858528619231789,0.4763307572033577,2.8468281688708363,284.6828168870836,0.30364955903330937,0.49530711481793854,0.5766136673642999
lod_train_proxy,best,17,lod-0833-0834,833,834,491520,59.063381907020236,42.557027916762394,0.08615410610274014,4.597209838440284,40.38451242627258,0.12078042309615498,0.03714498065911022,0.12077729070051058,12.077729070051058,0.8981526692708334,0.999359130859375,0.9997456868489584
lod_train_proxy,best,18,lod-0851-0852,851,852,491520,59.862685072329334,54.22309884945479,0.12912936921376061,11.602615578605455,48.99300182693617,0.2009466078871819,0.050153708043783087,0.20041386457005192,20.041386457005192,0.8584004720052083,0.9491190592447917,0.979290771484375
lod_train_proxy,best,19,lod-0861-0862,861,862,491520,59.44528932940053,52.15669851378008,0.20166188227773568,19.34798418626189,88.99509289760915,0.27054783698202756,0.08919743339551768,0.26881359777664143,26.881359777664144,0.7222880045572917,0.8901611328125,0.9629435221354167
lod_train_proxy,best,20,lod-0893-0894,893,894,491520,70.28149585876257,6.53651948075707,0.18125054216676997,6.232990516916588,26.476312860554525,0.24996409663494065,0.06471888352798566,0.24736075010449404,24.736075010449404,0.8140055338541666,0.9394917805989583,0.9621134440104167
lod_train_proxy,best,21,lod-0983-0984,983,984,471564,57.99762148064512,38.46463212346162,181.49942275735066,7377.455139432113,34.91404077656468,1.3037621840136666,0.25222670847937123,1.263427249455756,126.3427249455756,0.7684577279011968,0.8125599070327676,0.8336365795522983
lod_train_proxy,best,22,lod-1001-1002,1001,1002,490630,72.30918297899046,2.4048387669527767,1.3483585461435803,79.9848332801815,27.62938768401094,0.4433388604324864,0.06691303053254528,0.4412826089064275,44.12826089064275,0.9014430426186739,0.925624197460408,0.9425901392087724
lod_train_proxy,best,23,lod-1065-1066,1065,1066,485183,61.98895706544926,-0.1626417633338316,0.5424827217656685,16.42542271705429,11.52965502597695,2.962874871010608,0.3124992947373616,2.9281042499643464,292.8104249964346,0.8743216477081843,0.9039310940408052,0.9199971969339404
