feature_ablation_mode,feature_source,abs_rel,d1,boundary_abs_rel,dav2_high_error_abs_rel,far50_abs_rel,dark_abs_rel,saturated_abs_rel,mean_gate,mean_abs_delta,mean_abs_gate_delta,minus_true_abs_rel,shuffle_policy,shuffle_seed,donor_mapping_sha256
true,x3,0.12540904509913325,0.8537367532001758,0.25921050927148825,0.22518443880410097,0.25474131903787145,0.10380888451212412,0.14134009163378988,0.32334705483913423,0.46983844313025475,0.16051066986471416,0.0,,,
zero,x3,0.12381403588421948,0.8442850784610662,0.27852646687974586,0.21791300961914759,0.3014099723629535,0.10342100352132357,0.16243580000052538,0.3903498288691044,0.4782353370785713,0.194267424993217,-0.0015950092149137757,,,
mean,x3,0.12372827079532406,0.8443269554798908,0.27822882984683284,0.217458611452068,0.3019612431313296,0.10344960913976425,0.1622992504223658,0.39129667861759665,0.478542790979147,0.1947507633045316,-0.001680774303809196,,,
shuffle,x3,0.12873673615798237,0.8419265839773001,0.27340974149749014,0.22761056572673222,0.26728914994855274,0.10963335453790304,0.15699756487283295,0.3418011400401592,0.47159107333421707,0.16983150700479746,0.0033276910588491138,stable_hash_far,42,5276dcef93dd224e7530f1fd64117766391243fb4031024ecb54341f5bbfb213
