sample_id,split,branch,absrel,d1,eval_points,affine_scale,affine_shift,pred_npy,rgb_png
2018-02-04_21-37-51_00300,test,dataset_rgb,0.0567007803,0.955438066,1324,0.000315359481,0.000860930448,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-37-51_00300.npy,
2018-02-04_21-37-51_00300,test,raw_rod_like_g045,0.0595554753,0.970543807,1324,0.000313562311,0.000578840829,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_black01_g065,0.0592005303,0.972809668,1324,0.000341184379,0.000897435577,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_black05_g075,0.0571985214,0.972809668,1324,0.000337349648,0.0011460676,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_black10_g085,0.0612056772,0.973564955,1324,0.000362607168,0.00354169564,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black10_g085/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black10_g085/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_black05_g075_unsharp,0.0570736391,0.96978852,1324,0.000293410741,0.0004877075,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black05_g075_unsharp/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black05_g075_unsharp/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_decomp_black05_g075,0.0581129918,0.973564955,1324,0.000338291062,0.0012940697,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_decomp_black05_g075/2018-02-04_21-37-51_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_decomp_black05_g075/2018-02-04_21-37-51_00300.png
2018-02-04_21-35-48_00300,test,dataset_rgb,0.101032498,0.902470741,1538,0.000309004732,0.0135425707,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-35-48_00300.npy,
2018-02-04_21-35-48_00300,test,raw_rod_like_g045,0.080101393,0.922626788,1538,0.000346626191,0.00854773863,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-35-48_00300.png
2018-02-04_21-35-48_00300,test,raw_black01_g065,0.0892157322,0.909622887,1538,0.000378593727,0.0104105204,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/dav2l_pred/raw_black01_g065/2018-02-04_21-35-48_00300.npy,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/0611_stf_raw_render_sweep_dark10/rendered_rgb/raw_black01_g065/2018-02-04_21-35-48_00300.png
