ext_id,denoiser,sigma,alpha,affine,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3,clamp_low_ratio,clamp_high_ratio,clamp_total_ratio,clamp_low_ratio_ch_0,clamp_low_ratio_ch_1,clamp_low_ratio_ch_2,clamp_high_ratio_ch_0,clamp_high_ratio_ch_1,clamp_high_ratio_ch_2,clamp_total_ratio_ch_0,clamp_total_ratio_ch_1,clamp_total_ratio_ch_2,delta_ratio,delta_p50,delta_p95,delta_p99,artifact_path
EXT_ID_Q001,identity,n_a,1.0,q001q999,0,lod-0021-0022,21,22,484030,60.35916453749822,38.51132933806915,10.26298847373878,912.3424947620972,15.888440585677627,0.2984462653468414,0.029326240542676095,0.29811033239996215,29.811033239996217,0.965192240150404,0.9764043551019564,0.9846290519182695,6.10351571594947e-06,0.02614949643611908,0.02615560032427311,1.831054760259576e-05,0.0,0.0,0.0267740897834301,0.02600301243364811,0.02567138895392418,0.02679239958524704,0.02600301243364811,0.02567138895392418,0.028699064627289772,0.0,2.384185791015625e-07,1.171900749206543,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000000_lod-0021-0022.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,1,lod-0023-0024,23,24,491519,66.42079381926199,-6.42579300402705,1.3020998606007526,69.0400303052349,24.31223315931259,0.5002953393265226,0.06560697417289794,0.49922294232534237,49.922294232534234,0.8349097389927959,0.920432373926542,0.9548074438628008,0.0,0.005984836257994175,0.005984836257994175,0.0,0.0,0.0,0.0061848959885537624,0.006060791201889515,0.005708822049200535,0.0061848959885537624,0.006060791201889515,0.005708822049200535,0.007163750007748604,0.0,0.0,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000001_lod-0023-0024.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,2,lod-0025-0026,25,26,491520,50.23742840241749,-6.170181448544368,0.4514483987923899,17.440058678022048,35.9536279676174,0.47478639047920074,0.11729342422570364,0.4665553271810601,46.65553271810601,0.705926513671875,0.784814453125,0.9024576822916667,2.9161241400288418e-05,3.187391484971158e-05,6.103515625e-05,8.748372783884406e-05,0.0,0.0,5.696614971384406e-05,1.2207032341393642e-05,2.6448569769854657e-05,0.00014444987755268812,1.2207032341393642e-05,2.6448569769854657e-05,9.797501661523711e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000002_lod-0025-0026.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,3,lod-0027-0028,27,28,489989,62.80295145694806,-16.269587020509743,7.146760775113256,228.00021287467317,66.90961843341425,0.5633163530377119,0.12555238045070632,0.5554031222534018,55.54031222534018,0.6792438197592191,0.793556590045899,0.8750686239895181,8.816189620119985e-06,0.0,8.816189620119985e-06,2.6448569769854657e-05,0.0,0.0,0.0,0.0,0.0,2.6448569769854657e-05,0.0,0.0,6.171475206429022e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000003_lod-0027-0028.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,4,lod-0029-0030,29,30,489782,65.65320905967353,-64.56146132448487,0.679391920584336,53.01354604300567,59.69490006563588,3.695210378307314,0.5001673734499126,3.6505132166215293,365.05132166215293,0.628928788726413,0.7579127040193392,0.8226986700205398,1.3563368383984198e-06,0.0,1.3563368383984198e-06,4.069010628882097e-06,0.0,0.0,0.0,0.0,0.0,4.069010628882097e-06,0.0,0.0,1.295428262437781e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000004_lod-0029-0030.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,5,lod-0031-0032,31,32,491473,71.7966669673271,-31.692099060170182,0.21228137144381412,5.206768842775666,16.221535687029125,0.9743945782430781,0.06436281593597137,0.9735391706518196,97.35391706518196,0.8953208009392174,0.9642137004474305,0.9803102103269152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1027037888643463e-08,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000005_lod-0031-0032.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,6,lod-0033-0034,33,34,491493,72.90677246235892,-64.18516222702226,0.1902206693082541,4.538544136143329,18.53103978225629,0.2126206849976463,0.04843221391331004,0.21202921181564668,21.20292118156467,0.8681588547547981,0.9525791822060538,0.9800648228967656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5094038846873445e-08,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000006_lod-0033-0034.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,7,lod-0035-0036,35,36,491520,74.14829176068787,-41.54032357483021,0.0807136239544858,2.4963566121314567,16.773195148356393,0.1388071827534913,0.03318704023565534,0.13877147711760368,13.877147711760369,0.930218505859375,0.979443359375,0.9934163411458333,6.781684191992099e-07,0.0,6.781684191992099e-07,2.0345053144410485e-06,0.0,0.0,0.0,0.0,0.0,2.0345053144410485e-06,0.0,0.0,2.984479863243905e-08,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000007_lod-0035-0036.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,8,lod-0037-0038,37,38,491188,82.4888690268538,-98.4407986572239,8.160508465801815,537.1998219200276,36.752612872853746,1.2200591826638048,0.1485841961532218,1.2200563566560108,122.00563566560108,0.6915559826380123,0.7870408071858433,0.8621627564191308,6.781684191992099e-07,0.0,6.781684191992099e-07,2.0345053144410485e-06,0.0,0.0,0.0,0.0,0.0,2.0345053144410485e-06,0.0,0.0,8.310580312809179e-08,0.0,0.0,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000008_lod-0037-0038.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,9,lod-0039-0040,39,40,491520,66.97463344395285,-32.576991868825246,0.10283736512821694,3.65635134331044,19.3412852904095,0.16815512392053616,0.040966392766546705,0.1678852912218991,16.78852912218991,0.89058837890625,0.9654500325520833,0.9886576334635416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.927169084898651e-08,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000009_lod-0039-0040.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,10,lod-0041-0042,41,42,491520,69.90994866712548,-26.184353195592124,0.25439407246703344,17.447838122120707,30.2831101508455,0.7215369949696746,0.09239176561893182,0.7215312742268624,72.15312742268624,0.7717732747395833,0.9127522786458333,0.949267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2214285582956563e-08,0.0,0.0,1.1920928955078125e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000010_lod-0041-0042.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,11,lod-0043-0044,43,44,480254,60.23176444596143,-30.491488023108882,78.96885035735811,7423.089707294631,29.135881145799917,4.126446429832572,0.5544819235901473,4.050618800890313,405.0618800890313,0.7889866612251017,0.8603634743281681,0.8834137768764029,5.6966146075865254e-05,0.00013970269355922937,0.00019666884327307343,0.00017089844914153218,0.0,0.0,0.0003682454698719084,4.069010537932627e-05,1.0172526344831567e-05,0.0005391439190134406,4.069010537932627e-05,1.0172526344831567e-05,4.189581886748783e-05,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000011_lod-0043-0044.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,12,lod-0045-0046,45,46,489707,64.52745444244722,-28.766954797691316,0.2089613412028906,7.819843273406714,29.527100129446673,2.9218329621548245,0.31983289475196336,2.8927376641187204,289.27376641187203,0.7607099755568125,0.8651724398466838,0.9099461514742488,0.0,0.0003200954815838486,0.0003200954815838486,0.0,0.0,0.0,0.00030517581035383046,0.00031941733323037624,0.00033569338847883046,0.00030517581035383046,0.00031941733323037624,0.00033569338847883046,0.0006161901401355863,0.0,0.0,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000012_lod-0045-0046.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,13,lod-0047-0048,47,48,491520,65.65240424068894,-16.377576319276766,0.09547644398613046,3.4263018172000366,20.23389503574841,0.1872774452023056,0.036634232718797934,0.18713363447400908,18.71336344740091,0.9303995768229166,0.9706583658854167,0.9814615885416667,6.781684191992099e-07,0.0,6.781684191992099e-07,2.0345053144410485e-06,0.0,0.0,0.0,0.0,0.0,2.0345053144410485e-06,0.0,0.0,2.1356159507490702e-08,0.0,1.1920928955078125e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000013_lod-0047-0048.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,14,lod-0649-0650,649,650,477771,55.482144270441474,95.4595442378395,1.7297694195899251,309.60451667309246,25.30936463601692,0.19260460731795165,0.038048625979358326,0.19238165597807297,19.238165597807296,0.9366244497887063,0.981118569356449,0.9947296926770357,3.390842175576836e-05,0.07470838725566864,0.07474229484796524,0.00010172526526730508,0.0,0.0,0.07106120139360428,0.0790710523724556,0.07399292290210724,0.07116292417049408,0.0790710523724556,0.07399292290210724,0.03498685732483864,0.0,0.6354179382324219,0.7619481086730957,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000014_lod-0649-0650.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,15,lod-0651-0652,651,652,491520,-17.19980618098481,339.5758831957558,0.8613748545117341,135.4893457388717,126.5187141664421,0.7033911842529508,0.23299089377803553,0.6905339604004572,69.05339604004573,0.195379638671875,0.6220560709635417,0.80528564453125,1.695421087788418e-05,0.0,1.695421087788418e-05,5.086263263365254e-05,0.0,0.0,0.0,0.0,0.0,5.086263263365254e-05,0.0,0.0,1.6569204035477014e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,/home/caq/6666_raw/dav2_raw_0603/finetune_stf/analysis/lod_postram_external/0610_1132_lod_postram_ext_minimal/EXT_ID_Q001/artifacts/000015_lod-0651-0652.npz
EXT_ID_Q001,identity,n_a,1.0,q001q999,16,lod-0653-0654,653,654,491451,72.57555989552328,-21.10419184101896,3.014652649941419,383.64022700706033,25.154842516487697,0.23790684245214497,0.03746566426024452,0.2376238755165271,23.76238755165271,0.932874284516666,0.9664300204903439,0.9799166142708021,0.0001912434963742271,0.0,0.0001912434963742271,0.0005737305036745965,0.0,0.0,0.0,0.0,0.0,0.0005737305036745965,0.0,0.0,8.025356692087371e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,
EXT_ID_Q001,identity,n_a,1.0,q001q999,17,lod-0655-0656,655,656,491519,79.99168886900053,-28.47613220324958,0.19693386970614568,10.459501040214633,31.85711076663895,1.8708422030451164,0.15501362883408745,1.8650424130557675,186.50424130557676,0.8646034029203347,0.9242145268036434,0.9464395069163145,0.00018649631238076836,0.0,0.00018649631238076836,0.0005594889516942203,0.0,0.0,0.0,0.0,0.0,0.0005594889516942203,0.0,0.0,9.32357033889275e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,
EXT_ID_Q001,identity,n_a,1.0,q001q999,18,lod-0657-0658,657,658,491494,71.00195625549665,32.33193446075503,0.07142390994710887,3.5847193597699767,24.517070386564,0.12290829428933445,0.028619993416405802,0.12283030014522324,12.283030014522325,0.93822101592288,0.9835827090462956,0.9957374861137674,7.188585004769266e-05,0.00011732313578249887,0.00018920899310614914,0.0002156575646949932,0.0,0.0,0.0003295898495707661,0.0,2.2379557776730508e-05,0.0005452473997138441,0.0,2.2379557776730508e-05,1.9404491467867047e-05,0.0,1.1920928955078125e-07,2.384185791015625e-07,
EXT_ID_Q001,identity,n_a,1.0,q001q999,19,lod-0659-0660,659,660,491341,70.58039577480812,-50.30556455910375,0.3323307320232789,6.561054613209273,20.32629897209235,0.23237284984847822,0.0491009924392328,0.23208264779149398,23.2082647791494,0.8883809818435668,0.9535923116532103,0.9785708906848808,0.00017835829930845648,0.0,0.00017835829930845648,0.0005350749124772847,0.0,0.0,0.0,0.0,0.0,0.0005350749124772847,0.0,0.0,9.485580449108966e-06,0.0,2.384185791015625e-07,2.384185791015625e-07,
EXT_ID_Q001,identity,n_a,1.0,q001q999,20,lod-0661-0662,661,662,491520,49.15513984935649,-8.576800987703878,0.3609424651183219,15.26300800106538,59.280533314307675,0.3749461410771914,0.1351216046119056,0.35501390687950596,35.5013906879506,0.3854248046875,0.7677836100260417,0.925750732421875,0.0,2.7126736767968396e-06,2.7126736767968396e-06,0.0,0.0,0.0,0.0,8.138021257764194e-06,0.0,0.0,8.138021257764194e-06,0.0,2.1680486383957032e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,
