row,kind,experiment,checkpoint,sample_index,sample_name,abs_rel,rmse,silog,d1,d2,d3,align_scale,align_shift,valid_pixels,d1_pass_pixels,x3_min,x3_p01,x3_mean,x3_p50,x3_p99,x3_max
1,student_rgb_dav2s_init,DAv2-S student RGB init,/home/caq/333_cvpr/da_ours/checkpoints/depth_anything_v2_vits.pth,863,night-06873,0.25281488392822665,31.960973618085152,4.237757153154046,0.718196786201553,0.825597112971416,0.8542926443093197,42.40250181311717,-34.47181367044987,474952,341109,-2.1179039478302,-2.1007790565490723,-1.832148790359497,-1.878151297569275,-0.5826330184936523,2.640000104904175
2,raw_ram_final,0605_1332_rod_night_rawram3_identity_dav2s_ram_decoder_e5,/mnt/drive/3333_raw/0000_exp_ckpt/0605_1332_rod_night_rawram3_identity_dav2s_ram_decoder_e5/last_epoch_model.pth,863,night-06873,0.2328127681954215,31.063054360165452,4.406714654056534,0.7618896225302767,0.8379330963971096,0.8665001937037848,63.260276035554156,-45.03955002780946,474952,361861,-14.5625,-1.2890625,-0.2358253300189972,-0.51953125,2.390625,19.25
3,raw_ram_final,0605_1844_rod_night_rawram3_identity_dav2s_ram_lora_tap_r8a16_decoder_e5,/mnt/drive/3333_raw/0000_exp_ckpt/0605_1844_rod_night_rawram3_identity_dav2s_ram_lora_tap_r8a16_decoder_e5/last_epoch_model.pth,863,night-06873,0.2457820510493398,32.99678488632275,4.594455131679883,0.7414538732335058,0.8279552460038067,0.8526545840421769,49.92706449057492,-38.96306905514101,474952,352155,-11.3125,-1.6640625,-0.3016338348388672,-0.2734375,1.90625,30.625
4,raw_ram_final,0606_0330_rod_night_rawram3_identity_dav2s_ram_backbone_ld09_decoder_e10,/mnt/drive/3333_raw/0000_exp_ckpt/0606_0330_rod_night_rawram3_identity_dav2s_ram_backbone_ld09_decoder_e10/last_epoch_model.pth,863,night-06873,0.17675773432578767,15.012214959499614,3.6853499141883894,0.766275328875339,0.8686919941383551,0.9032407485387998,37.96092718716988,-19.456107108979154,474952,363944,-4.5,-1.484375,-0.2409246861934662,-0.3125,1.8203125,31.5
5,raw_ram_final,0606_1431_rod_night_rawram3_identity_dav2s_ram_backbone_lowlr_ld09_e10,/mnt/drive/3333_raw/0000_exp_ckpt/0606_1431_rod_night_rawram3_identity_dav2s_ram_backbone_lowlr_ld09_e10/last_epoch_model.pth,863,night-06873,0.26840347452490704,44.80711103498492,4.80814788301661,0.7356385487375566,0.8117957183041655,0.8459612760868467,49.6814722728115,-41.246998723892276,474952,349393,-5.96875,-1.6640625,-0.07357513904571533,0.068359375,2.09375,24.125
