mask,pixel_ratio,gate_mass_ratio,residual_energy_ratio,mean_gate,mean_abs_gate_delta,nonempty_samples
valid,0.7217516942657608,1.0,1.0,0.3233470552712679,0.1605106698051095,1000
invalid,0.27824830573423925,0.9856153086000344,0.9931920739570865,0.745549538128078,0.3724811655767262,1000
boundary,0.07217935536094103,0.11887574158176918,0.11835264332779505,0.3805300122722983,0.18809228773787617,1000
high_error,0.1443664953025567,0.32032829000956986,0.3213677951680288,0.5012342687100172,0.24941263491660356,1000
far50,0.04349717981175782,0.06526741820823762,0.06533652357050769,0.38754071985185146,0.19288692678511143,1000
dark,0.30049578308440417,0.38879455642321653,0.38876628316460327,0.3411002421559848,0.1693441706157036,981
saturated,0.0006059734559411016,0.001109486425626934,0.001106053427925693,0.3438868578545839,0.16967779463297317,830
