item_id,label,index,sample_name,abs_rel,d1,image_edge_band_abs_rel,image_edge_band_coverage,image_edge_band_d1,image_edge_band_points,pseudo_dbe_acc,pseudo_dbe_comp,pseudo_edge_f1,pseudo_edge_precision,pseudo_edge_recall,pseudo_pred_edge_density,pseudo_target_edge_density,rmse,silog
dav2l_rgb_direct,DAv2-L RGB direct,0,2018-02-03_20-48-35_00400,0.10235701086717752,0.9270171149144254,0.09581221612471032,0.6768948655256724,0.9445548130756728,5537.0,1.7443466186523438,2.343256950378418,0.7787080531315997,0.8152161941892994,0.7453296673440777,0.0461822509765625,0.04680226643880208,6.999975260824186,0.21568452150347717
dav2l_rgb_direct,DAv2-L RGB direct,1,2018-02-03_20-48-35_00500,0.10328286614974157,0.8953906884941367,0.10967331019471087,0.6146522698246836,0.8774083868530412,5294.0,0.8273157477378845,0.6466533541679382,0.9295096114984539,0.9212718287362113,0.9378960438431239,0.047446187337239584,0.04751790364583333,5.999542276776788,0.23430256103495872
dav2l_rgb_direct,DAv2-L RGB direct,2,2018-02-03_20-49-38_00000,0.18429260185210727,0.7748352453014401,0.187173168629044,0.5524774225042715,0.7552462999779103,4527.0,0.4655613303184509,0.3970990777015686,0.9631871209756323,0.9590268620141839,0.9673836316073579,0.04898427327473958,0.048996988932291666,7.196562833602185,0.3386192510814714
dav2l_rgb_direct,DAv2-L RGB direct,3,2018-02-03_20-49-38_00100,0.10332308046226045,0.8914260129841056,0.11826939160496645,0.5019028430714125,0.8664139161462979,4484.0,1.058894157409668,0.8147079944610596,0.905771991047562,0.8925679524739584,0.91937255859375,0.05,0.05,5.315320921502527,0.22291543603292413
dav2l_rgb_direct,DAv2-L RGB direct,4,2018-02-03_20-49-38_00200,0.18035828324013117,0.8412815773259397,0.16550591105685186,0.5473813924830561,0.8674020711391265,4442.0,0.5117455124855042,0.40961894392967224,0.9614528210262664,0.954620361328125,0.9683837890625,0.05,0.05,6.714434267285068,0.3305743038629652
dav2l_rgb_direct,DAv2-L RGB direct,5,2018-02-03_20-50-46_00000,0.22077844956403295,0.7546935223175432,0.22684242494377072,0.5400969787392764,0.7352670349907919,4344.0,0.7296761870384216,1.1465693712234497,0.9078791783648762,0.9375609553651096,0.8800190907015832,0.04902242024739583,0.04902242024739583,9.140551006424376,0.406124107461418
dav2l_rgb_direct,DAv2-L RGB direct,6,2018-02-03_20-50-46_00100,0.1569436897696666,0.7670687300864816,0.16308838048193602,0.5619025944469731,0.7490886998784934,4938.0,0.7243282794952393,0.632546603679657,0.9370237004331095,0.932342529296875,0.9417521158854166,0.05,0.05,4.708883906387039,0.2806573473506709
dav2l_rgb_direct,DAv2-L RGB direct,7,2018-02-03_20-50-46_00200,0.20422592987389776,0.8270330763491669,0.19365974422123175,0.6334245212633673,0.8248920298390263,5094.0,0.7027291655540466,0.5661839246749878,0.9375636811760241,0.9312209510189489,0.9439934070584567,0.04552408854166667,0.04567108154296875,8.272472565050226,0.3819901375560371
dav2l_rgb_direct,DAv2-L RGB direct,8,2018-02-03_20-53-15_00000,0.14402176550661053,0.8429771348576761,0.1566874108661628,0.5716285580961269,0.8316326530612245,4900.0,0.521181583404541,0.5394285321235657,0.9518291677382675,0.9563134901836938,0.947386704563398,0.04831695556640625,0.04831695556640625,8.056822570016378,0.3322947910753813
dav2l_rgb_direct,DAv2-L RGB direct,9,2018-02-03_20-53-15_00200,0.18564917869167255,0.742231638418079,0.17318293257619044,0.687382297551789,0.7695205479452055,5840.0,1.3456841707229614,1.5992330312728882,0.8448370123165266,0.858367919921875,0.83172607421875,0.05,0.05,9.995855649244412,0.33819234045827373
