seed,baseline_run,cleanup_run,baseline_training_best,cleanup_training_best,training_delta,baseline_strict_d1,cleanup_strict_d1,strict_delta,cleanup_delta_ratio
42,0610_0054_B0_LORA_s01_lod_postram_cleanup_e10_seed42,0610_0103_T_LORA_s01_lod_postram_cleanup_e10_seed42,0.8476108218507397,0.848463881772532,0.0008530599217922985,0.8475918908620995,0.8485039178807047,0.0009120270186051549,0.09145682198660714
123,0610_0119_B0_LORA_s01_lod_postram_cleanup_e10_seed123,0610_0128_T_LORA_s01_lod_postram_cleanup_e10_seed123,0.8486499932175028,0.8507843406404786,0.002134347422975802,0.8484701101087272,0.8507080703851404,0.002237960276413209,0.10227094377790179
777,0610_0144_B0_LORA_s01_lod_postram_cleanup_e10_seed777,0610_0153_T_LORA_s01_lod_postram_cleanup_e10_seed777,0.8451632073372046,0.846308178318875,0.0011449709816703235,0.8450846172437239,0.8464131903215544,0.0013285730778305194,0.03980800083705357
