split,checkpoint_label,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3
lod_train_proxy,best,0,lod-0031-0032,31,32,491473,67.27529346450747,-17.343959858689026,0.32408305908031454,11.722831058753508,21.888497914904125,0.2596414574729149,0.05512866211236706,0.2593500394664256,25.93500394664256,0.8695777794507531,0.9549212265984093,0.9782816146563493
lod_train_proxy,best,1,lod-0185-0186,185,186,491520,68.02808679525883,-22.118645552705082,0.10468417694247652,2.579713614192684,16.334064858403853,0.17612021480391096,0.04268355222406359,0.1758613517545384,17.58613517545384,0.8636739095052083,0.952032470703125,0.9900349934895833
lod_train_proxy,best,2,lod-0275-0276,275,276,491520,57.80658923688715,49.354518935822405,0.22755863188514408,15.345355134804375,72.79185092831234,0.2609957789424436,0.09866372571502195,0.2609924507496858,26.09924507496858,0.5467244466145833,0.9532633463541667,0.9962422688802083
lod_train_proxy,best,3,lod-0293-0294,293,294,491520,86.62227055978775,-28.75711994431624,0.2718728721250439,15.286988851901533,49.70548254204713,0.3505979177698352,0.11500383767098571,0.35038197871523474,35.03819787152347,0.5077677408854167,0.8642740885416667,0.9355305989583333
lod_train_proxy,best,4,lod-0331-0332,331,332,491520,65.06532885959645,-12.965202994839403,0.14836086603980794,5.818993554617287,26.700163658379072,0.22501129311520268,0.05948342041544336,0.22463450080203023,22.463450080203025,0.8849222819010417,0.9521769205729167,0.972314453125
lod_train_proxy,best,5,lod-0363-0364,363,364,490982,65.63552312091106,-14.04134507536346,0.12841902140477698,5.469991120210403,25.228333229026077,0.983323529176066,0.06829967053782436,0.982253546898551,98.22535468985511,0.9082980638801422,0.9556277012191893,0.9762822262323262
lod_train_proxy,best,6,lod-0377-0378,377,378,491520,58.600247942348,-8.784118902425298,0.21688595133134134,16.137765295852137,60.499653819863845,0.26416969624994374,0.08747025916160742,0.2635407835780604,26.35407835780604,0.646270751953125,0.9120503743489583,0.9804423014322917
lod_train_proxy,best,7,lod-0395-0396,395,396,491520,55.00561010497788,39.965469776165655,0.06659441673273626,1.8046090391387275,18.98822429320284,0.09909144024927538,0.028511609540912655,0.09902026087720714,9.902026087720714,0.944439697265625,0.9986226399739583,1.0
lod_train_proxy,best,8,lod-0399-0400,399,400,491520,70.32502007992446,-8.140512570517295,0.2801508093162147,16.65516610986566,29.86143735988581,1.200464631126762,0.12928315549084415,1.1990630458521538,119.90630458521538,0.7709920247395833,0.825738525390625,0.8692423502604166
lod_train_proxy,best,9,lod-0427-0428,427,428,491520,165.52671248010472,-390.06423628750184,0.5769602106855412,38.64954984841854,53.39527001656745,0.6002019093903617,0.18243914663406968,0.592522327556882,59.2522327556882,0.43277180989583336,0.64278564453125,0.7564208984375
lod_train_proxy,best,10,lod-0545-0546,545,546,491520,50.982809926169686,102.7086956650915,0.27695950649980566,24.2948724430871,63.85142700042094,0.36059241468396197,0.10161329106809487,0.3579524653371152,35.79524653371152,0.6685465494791667,0.8299357096354166,0.90960693359375
lod_train_proxy,best,11,lod-0567-0568,567,568,491520,71.10325361145468,-26.237145634116235,0.11278804455176718,2.9231535193339426,22.030217408218704,0.16443080099762497,0.048767623484623844,0.1643141988410997,16.43141988410997,0.9111673990885417,0.991522216796875,0.9957112630208333
lod_train_proxy,best,12,lod-0619-0620,619,620,491520,64.34955664449424,4.228020623585282,0.0851616340221533,2.9530609478917014,24.63292275816332,0.165325517713377,0.038377317629614986,0.16528319095555022,16.528319095555023,0.908624267578125,0.9677083333333333,0.9858113606770833
lod_train_proxy,best,13,lod-0671-0672,671,672,491520,39.36558002686986,247.17817615968673,0.04771876594207782,3.611971678691137,31.002958086024677,0.10445458568681289,0.01944272669591324,0.10438802841402336,10.438802841402337,0.9421549479166667,0.9906229654947917,0.9958211263020833
lod_train_proxy,best,14,lod-0705-0706,705,706,491520,61.27820066535736,68.65309960367948,0.09981004775488807,6.379958030742145,38.740334908087526,0.16689938456911396,0.04165985034511852,0.16664437683402092,16.66443768340209,0.8724324544270833,0.9643941243489583,0.9921244303385417
