sample_id,split,branch,absrel,d1,eval_points,affine_scale,affine_shift,pred_npy,rgb_png
2018-02-04_21-37-51_00200,test,raw_b05_g075_us06,0.185081985,0.65473301,1648,0.000388831341,0.00745827604,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g075_us06/2018-02-04_21-37-51_00200.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g075_us06/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_b05_g075_us085,0.181319539,0.656553398,1648,0.000374357822,0.0072077928,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g075_us085/2018-02-04_21-37-51_00200.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g075_us085/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_b05_g080_us06,0.185480878,0.653519417,1648,0.000391630814,0.00750141262,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g080_us06/2018-02-04_21-37-51_00200.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g080_us06/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00200,test,raw_b08_g080_us06,0.199371615,0.658373786,1648,0.000409690639,0.00954376232,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b08_g080_us06/2018-02-04_21-37-51_00200.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b08_g080_us06/2018-02-04_21-37-51_00200.png
2018-02-04_21-37-51_00300,test,dataset_rgb,0.0567007803,0.955438066,1324,0.000315359481,0.000860930448,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-37-51_00300.npy,
2018-02-04_21-37-51_00300,test,raw_rod_like_g045,0.0595554753,0.970543807,1324,0.000313562311,0.000578840829,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b03_g065_us06,0.0610007152,0.970543807,1324,0.000315841161,0.000469974069,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b03_g065_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b03_g065_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b03_g070_us06,0.0606561158,0.970543807,1324,0.000321951095,0.000527404456,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b03_g070_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b03_g070_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b03_g075_us06,0.0617369277,0.96978852,1324,0.000320264274,0.000475396384,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b03_g075_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b03_g075_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b05_g070_us06,0.0573584067,0.966767372,1324,0.000299890234,0.0002618175,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g070_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g070_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b05_g075_us06,0.0571691129,0.96978852,1324,0.000301503663,0.000456113827,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g075_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g075_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b05_g075_us085,0.0570736391,0.96978852,1324,0.000293410741,0.0004877075,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g075_us085/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g075_us085/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b05_g080_us06,0.0571329209,0.96978852,1324,0.000306398003,0.000467840896,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b05_g080_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b05_g080_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-37-51_00300,test,raw_b08_g080_us06,0.0561513336,0.974320242,1324,0.000345490143,0.00265507975,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b08_g080_us06/2018-02-04_21-37-51_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b08_g080_us06/2018-02-04_21-37-51_00300.png
2018-02-04_21-35-48_00300,test,dataset_rgb,0.101032498,0.902470741,1538,0.000309004732,0.0135425707,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/dataset_rgb/2018-02-04_21-35-48_00300.npy,
2018-02-04_21-35-48_00300,test,raw_rod_like_g045,0.080101393,0.922626788,1538,0.000346626191,0.00854773863,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_rod_like_g045/2018-02-04_21-35-48_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_rod_like_g045/2018-02-04_21-35-48_00300.png
2018-02-04_21-35-48_00300,test,raw_b03_g065_us06,0.0825102544,0.921326398,1538,0.000357154764,0.00916825035,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/dav2l_pred/raw_b03_g065_us06/2018-02-04_21-35-48_00300.npy,finetune_stf/analysis/0611_stf_raw_render_focus_sweep_dark10/rendered_rgb/raw_b03_g065_us06/2018-02-04_21-35-48_00300.png
