feature_ablation_mode,feature_source,abs_rel,d1,boundary_abs_rel,dav2_high_error_abs_rel,far50_abs_rel,dark_abs_rel,saturated_abs_rel,mean_gate,mean_abs_delta,mean_abs_gate_delta,minus_true_abs_rel,shuffle_policy,shuffle_seed,donor_mapping_sha256
true,ffm_mid,0.12622307990889203,0.8535829656548187,0.27136458691951565,0.23164824946117762,0.22540821875596448,0.10803033725338766,0.14685603543079162,0.3174507019072771,0.4706513629555702,0.15750212493538857,0.0,,,
zero,ffm_mid,0.13537042350942824,0.8302870731565228,0.29496970945007667,0.23105750090275542,0.27908532295844685,0.11615782680951432,0.15787698590668045,0.35837728416919706,0.47434755554795266,0.17778108393400907,0.009147343600536206,,,
mean,ffm_mid,0.12982883603098389,0.8467586148313194,0.27821504933343716,0.22619209279518088,0.25459324579493975,0.1096303765049858,0.15966994020233505,0.38572932524979114,0.4747480265498161,0.19172320187091826,0.003605756122091852,,,
shuffle,ffm_mid,0.13249055464846146,0.8391156594845234,0.292307391265698,0.23821754211848878,0.24536467628403183,0.11319978101912574,0.1704121656207822,0.34730589637160303,0.4720908456146717,0.17247194995731116,0.006267474739569429,stable_hash_far,42,5276dcef93dd224e7530f1fd64117766391243fb4031024ecb54341f5bbfb213
