matrix_id,variant,checkpoint_label,eval_input_label,checkpoint_train_dataset_family,checkpoint_train_dataset_input_mode,eval_dataset_family,eval_dataset_input_mode,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3,post_ram_enabled,post_ram_scale,post_ram_mean_abs_xram,post_ram_mean_abs_delta,post_ram_delta_ratio,post_ram_xram_p1,post_ram_xram_p50,post_ram_xram_p99,post_ram_xclean_p1,post_ram_xclean_p50,post_ram_xclean_p99
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,0,lod-0021-0022,21,22,484030,63.14729885505078,29.588608346072117,9.442824187556393,792.0864555342166,15.43713210966856,0.2841996828739498,0.028523721614815322,0.2838858455928966,28.388584559289658,0.9630126231845133,0.9762824618308783,0.9847922649422557,1.0,0.10009765625,0.8828125,0.059814453125,0.06787109375,-1.3671875,-0.28125,5.3125,-1.40625,-0.3203125,4.875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,1,lod-0023-0024,23,24,491519,65.27756801500378,-2.0254971646570215,1.3326792893966208,69.25916698221856,24.17741317148913,0.38847108427239796,0.06622880268281019,0.385665806606726,38.5665806606726,0.8248612973252306,0.9216958042313725,0.9492084741383344,1.0,0.10009765625,0.85546875,0.07177734375,0.083984375,-1.46875,-0.609375,3.609375,-1.53125,-0.66015625,3.4375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,2,lod-0025-0026,25,26,491520,52.96219983921638,-12.159303817181037,0.3445816335895116,13.01276214776359,31.458152879199254,0.3970492537005816,0.09660759351549154,0.39135216765529923,39.135216765529925,0.727862548828125,0.8613810221354167,0.9268391927083334,1.0,0.10009765625,0.7734375,0.07763671875,0.1005859375,-1.375,-0.16796875,1.921875,-1.4375,-0.1953125,1.921875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,3,lod-0027-0028,27,28,489989,62.38356023922217,-12.579487612469045,8.345725152836167,258.2372707172648,65.37237673110823,0.5556937928251736,0.12063391997390589,0.5480341772457766,54.80341772457766,0.6967319674523306,0.7913198051384827,0.8669072162844472,1.0,0.10009765625,0.6953125,0.078125,0.1123046875,-1.3671875,-0.2734375,1.75,-1.4375,-0.318359375,1.75
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,4,lod-0029-0030,29,30,489782,66.29319676033866,-63.08166637988885,0.6719316673330286,51.29866747859674,60.37410622797332,3.5950334978753022,0.48179834338541055,3.554728198770766,355.4728198770766,0.6121907297532372,0.7572654772939797,0.8180557880853114,1.0,0.10009765625,0.6484375,0.07763671875,0.11962890625,-1.2109375,-0.28515625,1.890625,-1.265625,-0.34765625,1.84375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,5,lod-0031-0032,31,32,491473,70.93368647716734,-30.11730854478357,0.2176404664044359,5.687309587301225,17.428798255908607,0.8582321268069237,0.05788645916402515,0.8577671541755596,85.77671541755596,0.8972008635265823,0.9684418065692316,0.9814944055929827,1.0,0.10009765625,0.80078125,0.0673828125,0.083984375,-0.76953125,0.373046875,3.78125,-0.78125,0.35546875,3.171875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,6,lod-0033-0034,33,34,491493,71.75762852857179,-57.28991390853328,0.17630127922454572,3.820419398141169,17.56213056142644,0.19754942993802915,0.04645904164342281,0.19709640084498886,19.709640084498886,0.8816707460736979,0.9597837609080903,0.9827667942371509,1.0,0.10009765625,0.578125,0.0712890625,0.12353515625,-1.125,0.10009765625,1.984375,-1.140625,0.08251953125,1.6953125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,7,lod-0035-0036,35,36,491520,75.27440570339384,-52.20529424343504,0.09106092259066242,2.776255944682572,17.785387020510683,0.1492695395340459,0.03764414702840326,0.1492286635154319,14.92286635154319,0.915594482421875,0.9765767415364583,0.992724609375,1.0,0.10009765625,0.79296875,0.0703125,0.0888671875,-1.140625,0.35546875,3.203125,-1.140625,0.33984375,2.71875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,8,lod-0037-0038,37,38,491188,83.08305602857773,-89.84997541992594,6.062704103423223,301.2241471182537,35.23072026967046,0.6555871856848143,0.12252877128628821,0.654860102636268,65.48601026362681,0.6890335268776925,0.7866030929094359,0.8745164784155964,1.0,0.10009765625,0.357421875,0.07470703125,0.208984375,-0.79296875,-0.0869140625,1.171875,-0.84765625,-0.1328125,1.1015625
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,9,lod-0039-0040,39,40,491520,65.12810971631028,-31.274903687442187,0.1105324693106933,3.918989254464,20.044806562055598,0.1727525355113515,0.043849065684716325,0.1724295985922703,17.24295985922703,0.8818359375,0.96627197265625,0.988092041015625,1.0,0.10009765625,0.55859375,0.076171875,0.13671875,-0.88671875,0.11767578125,1.7578125,-0.9140625,0.0849609375,1.53125
