matrix_id,variant,checkpoint_label,eval_input_label,checkpoint_train_dataset_family,checkpoint_train_dataset_input_mode,eval_dataset_family,eval_dataset_input_mode,sample_index,sample_id,normal_id,dark_id,valid_pixels,align_scale,align_shift,abs_rel,sq_rel,rmse,rmse_log,log10,silog,silog_x100,d1,d2,d3,post_ram_enabled,post_ram_scale,post_ram_mean_abs_xram,post_ram_mean_abs_delta,post_ram_delta_ratio,post_ram_xram_p1,post_ram_xram_p50,post_ram_xram_p99,post_ram_xclean_p1,post_ram_xclean_p50,post_ram_xclean_p99
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,81,lod-3181-3182,3181,3182,491520,70.30734421511713,40.41496423585789,0.0270709168450311,0.4331410368305425,9.739148219659027,0.04489362206310586,0.011618837400518021,0.04489328432192271,4.489328432192271,0.9937174479166667,0.9985026041666667,0.9999857584635417,0.0,0.0,0.5234375,0.0,0.0,-1.296875,-0.181640625,1.703125,-1.296875,-0.181640625,1.703125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,82,lod-3183-3184,3183,3184,491520,70.14283348504776,26.43912650054628,0.043153141203884984,1.0789474816758011,14.97520839492656,0.10574964716528044,0.014844392071455667,0.10571125096051295,10.571125096051295,0.9855936686197917,0.992938232421875,0.99566650390625,0.0,0.0,0.96484375,0.0,0.0,-1.96875,0.09375,3.671875,-1.96875,0.09375,3.671875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,83,lod-3185-3186,3185,3186,491520,62.41832221278228,-33.655691537154766,0.14724093590153353,5.3982240255426435,24.137824213143997,0.20948951518818604,0.05931914485545416,0.2087017095199053,20.87017095199053,0.8268575032552083,0.94073486328125,0.984027099609375,0.0,0.0,0.6328125,0.0,0.0,-1.3671875,-0.3359375,1.875,-1.3671875,-0.3359375,1.875
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,84,lod-3785-3786,3785,3786,491520,61.667664559857926,-5.076986543330179,0.10815168414097709,3.2190972973088967,23.564013290291655,0.6566133567988903,0.05988931018311206,0.6557711731637353,65.57711731637353,0.8980916341145834,0.9438028971354167,0.9672749837239584,0.0,0.0,0.578125,0.0,0.0,-1.0390625,-0.265625,1.8984375,-1.0390625,-0.265625,1.8984375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,85,lod-3787-3788,3787,3788,491505,73.13751939223036,-3.736690639087782,0.10553158565702372,2.8096876032671045,15.731591628100068,0.18774226910387734,0.04386949702254545,0.18772477489804631,18.772477489804633,0.8836919258196763,0.9542507197281818,0.9877885270750043,0.0,0.0,0.33984375,0.0,0.0,-0.828125,-0.09326171875,1.3125,-0.828125,-0.09326171875,1.3125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,86,lod-3789-3790,3789,3790,491502,68.12204518777779,3.549648482054995,0.2915361062388649,15.490001348618435,30.2210092798415,0.29683709955723553,0.07389799142883607,0.29546241009248253,29.546241009248252,0.7663732802714943,0.8663993228918703,0.9461426403147902,0.0,0.0,0.4609375,0.0,0.0,-1.0234375,-0.396484375,1.3203125,-1.0234375,-0.396484375,1.3203125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,87,lod-3791-3792,3791,3792,491520,74.32259465269557,-18.112055072527905,0.188074422385827,10.64262768702896,31.293768442538646,1.1414636149188768,0.09773607475088462,1.1408221389202038,114.08221389202038,0.802618408203125,0.922064208984375,0.9587198893229166,0.0,0.0,0.423828125,0.0,0.0,-0.95703125,-0.318359375,1.3359375,-0.95703125,-0.318359375,1.3359375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,88,lod-3793-3794,3793,3794,491520,61.14325297909426,143.97630919971533,0.17382781569376962,17.74869792253536,59.51876303642704,0.2617011063510937,0.06187419835386794,0.26084406668126175,26.084406668126174,0.8299886067708333,0.9148050944010416,0.959686279296875,0.0,0.0,0.4765625,0.0,0.0,-1.015625,-0.408203125,1.359375,-1.015625,-0.408203125,1.359375
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,89,lod-3795-3796,3795,3796,491520,51.20402515393169,-16.745998504225643,0.27836540137781185,14.306815932885392,47.311529879436286,0.34985313973241533,0.10556529255232174,0.34800254096361927,34.800254096361925,0.6253763834635416,0.8649149576822917,0.9492350260416667,0.0,0.0,0.443359375,0.0,0.0,-1.0078125,-0.40625,0.70703125,-1.0078125,-0.40625,0.70703125
M_DD,strict,C_dark,I_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,lod_true_raw_dark_rgb16,raw_rgb16_dark,90,lod-3797-3798,3797,3798,491520,50.983394677867686,65.81765255521434,0.07932301424938755,3.434209339151747,26.812086323127183,0.12024533525885461,0.03331986204408062,0.12020757128686517,12.020757128686517,0.92083740234375,0.9911865234375,0.998199462890625,0.0,0.0,0.478515625,0.0,0.0,-0.9453125,-0.26953125,1.9296875,-0.9453125,-0.26953125,1.9296875
