mask,pixel_ratio,gate_mass_ratio,residual_energy_ratio,mean_gate,mean_abs_gate_delta,nonempty_samples
valid,0.7217516942657608,1.0,1.0,0.3358169864118099,0.16516931315511466,1000
invalid,0.27824830573423925,0.9305678259044681,0.9483984181763702,0.7482346348017455,0.37352181800454853,1000
boundary,0.07217935536094103,0.11139619603536746,0.1111916745500132,0.3701127348691225,0.18159057720005511,1000
high_error,0.1443664953025567,0.3374036034298916,0.341586531795165,0.5526444161087275,0.27448317151516677,1000
far50,0.04349717981175782,0.06548136667750427,0.06565383083920553,0.3997696575261652,0.19777303090319037,1000
dark,0.30049578308440417,0.3919799645354484,0.39131172120727603,0.37063679520598974,0.1826692912784556,981
saturated,0.0006059734559411016,0.0012333648584255809,0.001229503094937322,0.3673944538369416,0.17919457524184543,830
